Anno;Provincia produttore;Codice EER;Unita di misura;Regione;Pericoloso;Descrizione EER;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
2026;AG;150203;kg;Sicilia;NP;assorbenti, materiali filtranti, stracci e indumenti protettivi, diversi da quelli di cui alla voce 15 02 02;11211.0;12259.0;12399.0
2026;AG;160103;kg;Sicilia;NP;pneumatici fuori uso;309032.0;368155.0;378081.0
2026;AG;160104;kg;Sicilia;P;veicoli fuori uso;48180.0;48180.0;48180.0
2026;AG;160106;kg;Sicilia;NP;veicoli fuori uso, non contenenti liquidi né altre componenti pericolose;4997458.0;5888464.0;5946489.0
2026;AG;160107;kg;Sicilia;P;filtri dell'olio;20740.0;25233.0;26493.0
2026;AG;160110;kg;Sicilia;P;componenti esplosivi (ad esempio «air bag»);195.0;319.0;559.0
2026;AG;160112;kg;Sicilia;NP;pastiglie per freni, diverse da quelle di cui alla voce 16 01 11;2223.0;2590.0;2754.0
2026;AG;160113;kg;Sicilia;P;liquidi per freni;713.0;805.0;826.0
2026;AG;160114;kg;Sicilia;P;liquidi antigelo contenenti sostanze pericolose;3104.0;3317.0;3352.0
2026;AG;160116;kg;Sicilia;NP;serbatoi per gas liquefatto;0.0;0.0;0.0
2026;AG;160117;kg;Sicilia;NP;metalli ferrosi;1419164.0;1638542.0;1660735.0
2026;AG;160118;kg;Sicilia;NP;metalli non ferrosi;179161.0;199598.0;201209.0
2026;AG;160119;kg;Sicilia;NP;plastica;60101.0;69578.0;70668.0
2026;AG;160120;kg;Sicilia;NP;vetro;28713.0;30676.0;32375.0
2026;AG;160121;kg;Sicilia;P;componenti pericolosi diversi da quelli di cui alle voci da 16 01 07 a 16 01 11, 16 01 13 e 16 01 14;247.0;261.0;271.0
2026;AG;160122;kg;Sicilia;NP;componenti non specificati altrimenti;603102.0;749099.0;758227.0
2026;AG;160211;kg;Sicilia;P;apparecchiature fuori uso, contenenti clorofluorocarburi, HCFC, HFC;16713.0;16873.0;16873.0
2026;AG;160213;kg;Sicilia;P;apparecchiature fuori uso, contenenti componenti pericolosi (1) diversi da quelli di cui alle voci 16 02 09 e 16 02 12;69376.0;69376.0;70006.0
2026;AG;160214;kg;Sicilia;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;83793.0;86545.0;87137.0
2026;AG;160216;kg;Sicilia;NP;componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15;1481.0;1556.0;1756.0
2026;AG;160303;kg;Sicilia;P;rifiuti inorganici contenenti sostanze pericolose;13264.0;13351.0;13359.0
2026;AG;160304;kg;Sicilia;NP;rifiuti inorganici, diversi da quelli di cui alla voce 16 03 03;10000.0;10020.0;10020.0
2026;AG;160305;kg;Sicilia;P;rifiuti organici contenenti sostanze pericolose;1787.0;1787.0;1787.0
