Anno;Provincia produttore;Codice EER;Unita di misura;Regione;Pericoloso;Descrizione EER;Var_2026-09-07;Var_2026-09-15
2026;AG;150202;kg;Sicilia;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;2768.0;287.0
2026;AG;150202;l;Sicilia;P;assorbenti, materiali filtranti (inclusi filtri dell'olio non specificati altrimenti), stracci e indumenti protettivi, contaminati da sostanze pericolose;-1.0;0.0
2026;AG;150203;kg;Sicilia;NP;assorbenti, materiali filtranti, stracci e indumenti protettivi, diversi da quelli di cui alla voce 15 02 02;1048.0;140.0
2026;AG;160103;kg;Sicilia;NP;pneumatici fuori uso;59123.0;9926.0
2026;AG;160104;kg;Sicilia;P;veicoli fuori uso;0.0;0.0
2026;AG;160106;kg;Sicilia;NP;veicoli fuori uso, non contenenti liquidi né altre componenti pericolose;891006.0;58025.0
2026;AG;160107;kg;Sicilia;P;filtri dell'olio;4493.0;1260.0
2026;AG;160110;kg;Sicilia;P;componenti esplosivi (ad esempio «air bag»);124.0;240.0
2026;AG;160112;kg;Sicilia;NP;pastiglie per freni, diverse da quelle di cui alla voce 16 01 11;367.0;164.0
2026;AG;160113;kg;Sicilia;P;liquidi per freni;92.0;21.0
2026;AG;160114;kg;Sicilia;P;liquidi antigelo contenenti sostanze pericolose;213.0;35.0
2026;AG;160116;kg;Sicilia;NP;serbatoi per gas liquefatto;0.0;0.0
2026;AG;160117;kg;Sicilia;NP;metalli ferrosi;219378.0;22193.0
2026;AG;160118;kg;Sicilia;NP;metalli non ferrosi;20437.0;1611.0
2026;AG;160119;kg;Sicilia;NP;plastica;9477.0;1090.0
2026;AG;160120;kg;Sicilia;NP;vetro;1963.0;1699.0
2026;AG;160121;kg;Sicilia;P;componenti pericolosi diversi da quelli di cui alle voci da 16 01 07 a 16 01 11, 16 01 13 e 16 01 14;14.0;10.0
2026;AG;160122;kg;Sicilia;NP;componenti non specificati altrimenti;145997.0;9128.0
