Anno;Provincia impianto;Codice EER;Attivita a destinazione;Unita di misura;Regione;Pericoloso;Descrizione EER;Tipo operazione;Var_2026-09-07;Var_2026-09-15
2026;AG;070612;D9;kg;Sicilia;NP;fanghi prodotti dal trattamento in loco di effluenti, diversi da quelli di cui alla voce 07 06 11;D;4160.0;3820.0
2026;AG;080120;D8;kg;Sicilia;NP;sospensioni acquose contenenti pitture e vernici, diverse da quelle di cui alla voce 08 01 19;D;0.0;0.0
2026;AG;080308;D9;kg;Sicilia;NP;rifiuti liquidi acquosi contenenti inchiostro;D;0.0;0.0
2026;AG;100126;D9;kg;Sicilia;NP;rifiuti prodotti dal trattamento delle acque di raffreddamento;D;0.0;0.0
2026;AG;110105;D9;kg;Sicilia;P;acidi di decappaggio;D;73740.0;9520.0
2026;AG;110106;D9;kg;Sicilia;P;acidi non specificati altrimenti;D;0.0;0.0
2026;AG;110112;D8;kg;Sicilia;NP;soluzioni acquose di lavaggio, diverse da quelle di cui alla voce 11 01 11;D;9420.0;0.0
2026;AG;110113;D9;kg;Sicilia;P;rifiuti di sgrassaggio contenenti sostanze pericolose;D;0.0;0.0
2026;AG;120101;R4;kg;Sicilia;NP;limatura e trucioli di metalli ferrosi;R;0.0;0.0
2026;AG;130403;D9;kg;Sicilia;P;oli di sentina da un altro tipo di navigazione;D;106640.0;26660.0
2026;AG;130506;D9;kg;Sicilia;P;oli prodotti da separatori olio/acqua;D;0.0;0.0
2026;AG;130802;D9;kg;Sicilia;P;altre emulsioni;D;27080.0;0.0
2026;AG;150101;R13;kg;Sicilia;NP;imballaggi di carta e cartone;R;0.0;0.0
2026;AG;150101;R3;kg;Sicilia;NP;imballaggi di carta e cartone;R;1247480.0;174755.0
2026;AG;150102;R12;kg;Sicilia;NP;imballaggi di plastica;R;1428000.0;843660.0
2026;AG;150102;R13;kg;Sicilia;NP;imballaggi di plastica;R;0.0;0.0
2026;AG;150102;R3;kg;Sicilia;NP;imballaggi di plastica;R;0.0;0.0
2026;AG;150103;R13;kg;Sicilia;NP;imballaggi in legno;R;0.0;0.0
2026;AG;150103;R3;kg;Sicilia;NP;imballaggi in legno;R;0.0;0.0
2026;AG;150104;R12;kg;Sicilia;NP;imballaggi metallici;R;0.0;0.0
2026;AG;150106;R12;kg;Sicilia;NP;imballaggi in materiali misti;R;1351550.0;308620.0
2026;AG;150106;R3;kg;Sicilia;NP;imballaggi in materiali misti;R;1477160.0;219320.0
2026;AG;150107;R12;kg;Sicilia;NP;imballaggi di vetro;R;837200.0;184940.0
2026;AG;150107;R13;kg;Sicilia;NP;imballaggi di vetro;R;0.0;0.0
2026;AG;150107;R3;kg;Sicilia;NP;imballaggi di vetro;R;0.0;0.0
2026;AG;150203;R12;kg;Sicilia;NP;assorbenti, materiali filtranti, stracci e indumenti protettivi, diversi da quelli di cui alla voce 15 02 02;R;0.0;460.0
2026;AG;160104;D13;kg;Sicilia;P;veicoli fuori uso;D;0.0;0.0
2026;AG;160104;R12;kg;Sicilia;P;veicoli fuori uso;R;231947.0;29530.0
2026;AG;160104;R13;kg;Sicilia;P;veicoli fuori uso;R;443455.0;50516.0
2026;AG;160104;R4;kg;Sicilia;P;veicoli fuori uso;R;96760.0;12400.0
2026;AG;160106;R12;kg;Sicilia;NP;veicoli fuori uso, non contenenti liquidi né altre componenti pericolose;R;87840.0;0.0
2026;AG;160106;R13;kg;Sicilia;NP;veicoli fuori uso, non contenenti liquidi né altre componenti pericolose;R;272928.0;0.0
2026;AG;160106;R4;kg;Sicilia;NP;veicoli fuori uso, non contenenti liquidi né altre componenti pericolose;R;66217.0;1661.0
2026;AG;160114;D9;kg;Sicilia;P;liquidi antigelo contenenti sostanze pericolose;D;0.0;0.0
2026;AG;160117;R4;kg;Sicilia;NP;metalli ferrosi;R;4340.0;0.0
2026;AG;160119;R12;kg;Sicilia;NP;plastica;R;0.0;0.0
2026;AG;160119;R13;kg;Sicilia;NP;plastica;R;0.0;0.0
2026;AG;160119;R3;kg;Sicilia;NP;plastica;R;0.0;17525.0
2026;AG;160120;R5;kg;Sicilia;NP;vetro;R;160.0;0.0
2026;AG;160122;R13;kg;Sicilia;NP;componenti non specificati altrimenti;R;0.0;0.0
2026;AG;160214;R12;kg;Sicilia;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R;27.0;0.0
2026;AG;160214;R13;kg;Sicilia;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R;0.0;0.0
2026;AG;160214;R3;kg;Sicilia;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R;0.0;650.0
2026;AG;160214;R4;kg;Sicilia;NP;apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13;R;190.0;2930.0
2026;AG;160216;R13;kg;Sicilia;NP;componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15;R;0.0;0.0
2026;AG;160506;D9;kg;Sicilia;P;sostanze chimiche di laboratorio contenenti o costituite da sostanze pericolose, comprese le miscele di sostanze chimiche di laboratorio;D;2680.0;0.0
2026;AG;160708;D9;kg;Sicilia;P;rifiuti contenenti oli;D;0.0;0.0
2026;AG;161001;D9;kg;Sicilia;P;rifiuti liquidi acquosi, contenenti sostanze pericolose;D;1172260.0;0.0
2026;AG;161002;D8;kg;Sicilia;NP;rifiuti liquidi acquosi, diversi da quelle di cui alla voce 16 10 01;D;124720.0;0.0
2026;AG;161002;D9;kg;Sicilia;NP;rifiuti liquidi acquosi, diversi da quelle di cui alla voce 16 10 01;D;15907280.0;4870440.0
2026;AG;161004;D9;kg;Sicilia;NP;concentrati acquosi, diversi da quelli di cui alla voce 16 10 03;D;383880.0;0.0
2026;AG;170101;R13;kg;Sicilia;NP;cemento;R;0.0;0.0
2026;AG;170101;R5;kg;Sicilia;NP;cemento;R;1592980.0;753340.0
2026;AG;170103;R13;kg;Sicilia;NP;mattonelle e ceramiche;R;0.0;0.0
2026;AG;170103;R5;kg;Sicilia;NP;mattonelle e ceramiche;R;20400.0;0.0
2026;AG;170107;R5;kg;Sicilia;NP;miscugli di cemento, mattoni, mattonelle e ceramiche, diversi da quelli di cui alla voce 17 01 06;R;47580.0;0.0
2026;AG;170201;R12;kg;Sicilia;NP;legno;R;0.0;0.0
2026;AG;170201;R13;kg;Sicilia;NP;legno;R;0.0;0.0
2026;AG;170201;R5;kg;Sicilia;NP;legno;R;0.0;0.0
2026;AG;170202;R12;kg;Sicilia;NP;vetro;R;0.0;0.0
2026;AG;170202;R13;kg;Sicilia;NP;vetro;R;0.0;0.0
2026;AG;170202;R5;kg;Sicilia;NP;vetro;R;1980.0;0.0
2026;AG;170203;R12;kg;Sicilia;NP;plastica;R;17660.0;0.0
2026;AG;170203;R13;kg;Sicilia;NP;plastica;R;0.0;0.0
2026;AG;170203;R3;kg;Sicilia;NP;plastica;R;0.0;2100.0
2026;AG;170302;R13;kg;Sicilia;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;R;0.0;0.0
2026;AG;170302;R5;kg;Sicilia;NP;miscele bituminose diverse da quelle di cui alla voce 17 03 01;R;1875890.0;1511370.0
2026;AG;170402;R4;kg;Sicilia;NP;alluminio;R;0.0;0.0
2026;AG;170405;R4;kg;Sicilia;NP;ferro e acciaio;R;363250.0;60000.0
2026;AG;170405;R5;kg;Sicilia;NP;ferro e acciaio;R;0.0;0.0
2026;AG;170407;R13;kg;Sicilia;NP;metalli misti;R;0.0;0.0
2026;AG;170407;R4;kg;Sicilia;NP;metalli misti;R;1690.0;0.0
2026;AG;170411;R13;kg;Sicilia;NP;cavi, diversi da quelli di cui alla voce 17 04 10;R;0.0;0.0
2026;AG;170504;D1;kg;Sicilia;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;D;0.0;0.0
2026;AG;170504;R10;kg;Sicilia;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R;4271640.0;197300.0
2026;AG;170504;R13;kg;Sicilia;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R;172800.0;1672540.0
2026;AG;170504;R5;kg;Sicilia;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R;18992980.0;375460.0
2026;AG;170508;R13;kg;Sicilia;NP;pietrisco per massicciate ferroviarie, diverso da quello di cui alla voce 17 05 07;R;0.0;0.0
2026;AG;170508;R5;kg;Sicilia;NP;pietrisco per massicciate ferroviarie, diverso da quello di cui alla voce 17 05 07;R;4576280.0;0.0
2026;AG;170604;R12;kg;Sicilia;NP;materiali isolanti, diversi da quelli di cui alle voci 17 06 01 e 17 06 03;R;0.0;0.0
2026;AG;170802;R13;kg;Sicilia;NP;materiali da costruzione a base di gesso, diversi da quelli di cui alla voce 17 08 01;R;0.0;0.0
2026;AG;170802;R5;kg;Sicilia;NP;materiali da costruzione a base di gesso, diversi da quelli di cui alla voce 17 08 01;R;20420.0;0.0
2026;AG;170904;D1;kg;Sicilia;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;D;0.0;0.0
2026;AG;170904;D15;kg;Sicilia;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;D;0.0;0.0
2026;AG;170904;R5;kg;Sicilia;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;R;7827130.0;1572320.0
2026;AG;180106;D9;kg;Sicilia;P;sostanze chimiche pericolose o contenenti sostanze pericolose;D;0.0;0.0
2026;AG;190114;R5;kg;Sicilia;NP;ceneri leggere, diverse da quelle di cui alla voce 19 01 13;R;400.0;1600.0
2026;AG;190501;;kg;Sicilia;NP;parte di rifiuti urbani e simili non compostata;;0.0;0.0
2026;AG;190703;D8;kg;Sicilia;NP;percolato di discarica, diverso da quello di cui alla voce 19 07 02;D;378180.0;0.0
2026;AG;190703;D9;kg;Sicilia;NP;percolato di discarica, diverso da quello di cui alla voce 19 07 02;D;3366120.0;488640.0
2026;AG;190801;D1;kg;Sicilia;NP;Residui di vagliatura;D;0.0;0.0
2026;AG;190802;D1;kg;Sicilia;NP;rifiuti da dissabbiamento;D;0.0;0.0
2026;AG;190802;D8;kg;Sicilia;NP;rifiuti da dissabbiamento;D;3122.0;0.0
2026;AG;190802;D9;kg;Sicilia;NP;rifiuti da dissabbiamento;D;21239.0;0.0
2026;AG;190805;D8;kg;Sicilia;NP;fanghi prodotti dal trattamento delle acque reflue urbane;D;101148.0;0.0
2026;AG;190805;D9;kg;Sicilia;NP;fanghi prodotti dal trattamento delle acque reflue urbane;D;130303.0;0.0
2026;AG;190809;D8;kg;Sicilia;NP;miscele di oli e grassi prodotte dalla separazione olio/acqua, contenenti esclusivamente oli e grassi commestibili;D;82780.0;0.0
2026;AG;190809;D9;kg;Sicilia;NP;miscele di oli e grassi prodotte dalla separazione olio/acqua, contenenti esclusivamente oli e grassi commestibili;D;54040.0;26480.0
2026;AG;190812;D8;kg;Sicilia;NP;fanghi prodotti dal trattamento biologico di acque reflue industriali, diversi da quelli di cui alla voce 19 08 11;D;0.0;0.0
2026;AG;190814;D1;kg;Sicilia;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;D;188040.0;0.0
2026;AG;190814;D8;kg;Sicilia;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;D;0.0;0.0
2026;AG;190814;R5;kg;Sicilia;NP;fanghi prodotti da altri trattamenti di acque reflue industriali, diversi da quelli di cui alla voce 19 08 13;R;16270.0;0.0
2026;AG;191202;R4;kg;Sicilia;NP;metalli ferrosi;R;9140.0;0.0
2026;AG;191204;R12;kg;Sicilia;NP;plastica e gomma;R;0.0;0.0
2026;AG;191207;R13;kg;Sicilia;NP;legno diverso da quello di cui alla voce 19 12 06;R;0.0;0.0
2026;AG;191207;R3;kg;Sicilia;NP;legno diverso da quello di cui alla voce 19 12 06;R;0.0;0.0
2026;AG;191208;R13;kg;Sicilia;NP;prodotti tessili;R;0.0;0.0
2026;AG;191208;R3;kg;Sicilia;NP;prodotti tessili;R;0.0;0.0
2026;AG;191212;D1;kg;Sicilia;NP;altri rifiuti (compresi materiali misti) prodotti dal trattamento meccanico di rifiuti, diversi da quelli di cui alla voce 19 12 11;D;12460984.0;0.0
2026;AG;191212;R12;kg;Sicilia;NP;altri rifiuti (compresi materiali misti) prodotti dal trattamento meccanico di rifiuti, diversi da quelli di cui alla voce 19 12 11;R;0.0;0.0
2026;AG;191308;D9;kg;Sicilia;NP;rifiuti liquidi acquosi e rifiuti concentrati acquosi prodotti dalle operazioni di risanamento delle acque di falda, diversi da quelli di cui alla voce 19 13 07;D;1373340.0;591560.0
2026;AG;200101;R13;kg;Sicilia;NP;carta e cartone;R;0.0;0.0
2026;AG;200101;R3;kg;Sicilia;NP;carta e cartone;R;1522720.0;291380.0
2026;AG;200102;R12;kg;Sicilia;NP;vetro;R;0.0;0.0
2026;AG;200108;;kg;Sicilia;NP;rifiuti biodegradabili di cucine e mense;;1886280.0;0.0
2026;AG;200108;R13;kg;Sicilia;NP;rifiuti biodegradabili di cucine e mense;R;0.0;0.0
2026;AG;200108;R3;kg;Sicilia;NP;rifiuti biodegradabili di cucine e mense;R;384040.0;25420.0
2026;AG;200110;D13;kg;Sicilia;NP;abbigliamento;D;0.0;0.0
2026;AG;200110;R12;kg;Sicilia;NP;abbigliamento;R;119740.0;0.0
2026;AG;200110;R13;kg;Sicilia;NP;abbigliamento;R;0.0;0.0
2026;AG;200110;R3;kg;Sicilia;NP;abbigliamento;R;46030.0;0.0
2026;AG;200111;R12;kg;Sicilia;NP;prodotti tessili;R;83420.0;20000.0
2026;AG;200111;R13;kg;Sicilia;NP;prodotti tessili;R;29788.0;0.0
2026;AG;200136;R13;kg;Sicilia;NP;apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35;R;0.0;0.0
2026;AG;200136;R4;kg;Sicilia;NP;apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35;R;0.0;0.0
2026;AG;200138;D13;kg;Sicilia;NP;legno diverso da quello di cui alla voce 20 01 37;D;1420.0;0.0
2026;AG;200138;R12;kg;Sicilia;NP;legno diverso da quello di cui alla voce 20 01 37;R;101080.0;35020.0
2026;AG;200138;R13;kg;Sicilia;NP;legno diverso da quello di cui alla voce 20 01 37;R;15060.0;0.0
2026;AG;200138;R3;kg;Sicilia;NP;legno diverso da quello di cui alla voce 20 01 37;R;20000.0;0.0
2026;AG;200139;D13;kg;Sicilia;NP;plastica;D;1580.0;0.0
2026;AG;200139;R12;kg;Sicilia;NP;plastica;R;49820.0;0.0
2026;AG;200139;R13;kg;Sicilia;NP;plastica;R;0.0;0.0
2026;AG;200139;R3;kg;Sicilia;NP;plastica;R;60000.0;0.0
2026;AG;200140;R12;kg;Sicilia;NP;metalli;R;4080.0;0.0
2026;AG;200140;R13;kg;Sicilia;NP;metalli;R;0.0;0.0
2026;AG;200140;R4;kg;Sicilia;NP;metalli;R;20240.0;0.0
2026;AG;200201;D1;kg;Sicilia;NP;rifiuti biodegradabili;D;0.0;0.0
2026;AG;200201;R12;kg;Sicilia;NP;rifiuti biodegradabili;R;11580.0;0.0
2026;AG;200201;R13;kg;Sicilia;NP;rifiuti biodegradabili;R;0.0;0.0
2026;AG;200201;R3;kg;Sicilia;NP;rifiuti biodegradabili;R;468220.0;6560.0
2026;AG;200201;R5;kg;Sicilia;NP;rifiuti biodegradabili;R;0.0;0.0
2026;AG;200301;D13;kg;Sicilia;NP;rifiuti urbani non differenziati;D;0.0;0.0
2026;AG;200301;D15;kg;Sicilia;NP;rifiuti urbani non differenziati;D;3938720.0;0.0
2026;AG;200301;R12;kg;Sicilia;NP;rifiuti urbani non differenziati;R;425600.0;130420.0
2026;AG;200301;R3;kg;Sicilia;NP;rifiuti urbani non differenziati;R;0.0;0.0
2026;AG;200301;R5;kg;Sicilia;NP;rifiuti urbani non differenziati;R;0.0;0.0
2026;AG;200303;D13;kg;Sicilia;NP;residui della pulizia stradale;D;34460.0;0.0
2026;AG;200304;D8;kg;Sicilia;NP;fanghi delle fosse settiche;D;1003510.0;0.0
2026;AG;200304;D9;kg;Sicilia;NP;fanghi delle fosse settiche;D;380580.0;91780.0
2026;AG;200306;D8;kg;Sicilia;NP;rifiuti della pulizia delle fognature;D;1120000.0;0.0
2026;AG;200306;D9;kg;Sicilia;NP;rifiuti della pulizia delle fognature;D;0.0;31680.0
2026;AG;200307;R12;kg;Sicilia;NP;rifiuti ingombranti;R;1211669.0;171920.0
2026;AG;200307;R3;kg;Sicilia;NP;rifiuti ingombranti;R;0.0;0.0
2026;AL;010102;R10;kg;Piemonte;NP;rifiuti da estrazione di minerali non metalliferi;R;203900.0;0.0
2026;AL;010412;R10;kg;Piemonte;NP;sterili ed altri residui del lavaggio e della pulitura di minerali, diversi da quelli di cui alle voci 0104 07 e 01 04 11;R;0.0;0.0
2026;AL;010413;R5;kg;Piemonte;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;R;38830.0;0.0
2026;AL;020101;R10;kg;Piemonte;NP;fanghi da operazioni di lavaggio e pulizia;R;0.0;2200.0
2026;AL;020201;D13;kg;Piemonte;NP;fanghi da operazioni di lavaggio e pulizia;D;47740.0;0.0
2026;AL;020304;D13;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;D;23800.0;0.0
2026;AL;020304;R10;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;R;6000.0;5000.0
2026;AL;020304;R12;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;R;220.0;4720.0
2026;AL;020399;R10;kg;Piemonte;NP;rifiuti non specificati altrimenti;R;0.0;2300.0
2026;AL;020601;R12;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;R;0.0;32620.0
2026;AL;020704;R12;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;R;0.0;7800.0
2026;AL;030105;R1;kg;Piemonte;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R;23000.0;1000.0
2026;AL;030105;R12;kg;Piemonte;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R;0.0;0.0
2026;AL;030105;R13;kg;Piemonte;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R;3180.0;0.0
2026;AL;030105;R3;kg;Piemonte;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R;0.0;0.0
2026;AL;030307;R12;kg;Piemonte;NP;scarti della separazione meccanica nella produzione di polpa da rifiuti di carta e cartone;R;291290.0;0.0
2026;AL;030307;R13;kg;Piemonte;NP;scarti della separazione meccanica nella produzione di polpa da rifiuti di carta e cartone;R;13540.0;0.0
2026;AL;040220;D13;kg;Piemonte;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 04 02 19;D;0.0;0.0
2026;AL;040222;R12;kg;Piemonte;NP;rifiuti da fibre tessili lavorate;R;550.0;22800.0
2026;AL;050107;R6;kg;Piemonte;P;catrami acidi;R;57940.0;19007.0
2026;AL;060101;R6;kg;Piemonte;P;acido solforico e acido solforoso;R;3154214.0;1361251.0
2026;AL;060203;R5;kg;Piemonte;P;idrossido di ammonio;R;6309.0;0.0
2026;AL;060314;D13;kg;Piemonte;NP;sali e loro soluzioni, diversi da quelli di cui alle voci 06 03 11 e 06 03 13;D;120050.0;0.0
2026;AL;060314;D8;kg;Piemonte;NP;sali e loro soluzioni, diversi da quelli di cui alle voci 06 03 11 e 06 03 13;D;117890.0;0.0
2026;AL;060503;D13;kg;Piemonte;NP;fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 06 05 02;D;0.0;0.0
2026;AL;060602;R5;kg;Piemonte;P;rifiuti contenenti solfuri pericolosi;R;151500.0;66500.0
2026;AL;070101;R6;kg;Piemonte;P;soluzioni acquose di lavaggio e acque madri;R;0.0;0.0
2026;AL;070108;R6;kg;Piemonte;P;altri fondi e residui di reazione;R;0.0;0.0
2026;AL;070213;D13;kg;Piemonte;NP;rifiuti plastici;D;0.0;0.0
2026;AL;070213;R12;kg;Piemonte;NP;rifiuti plastici;R;30410.0;6270.0
2026;AL;070213;R13;kg;Piemonte;NP;rifiuti plastici;R;0.0;0.0
2026;AL;070213;R3;kg;Piemonte;NP;rifiuti plastici;R;98831.0;0.0
2026;AL;070608;R6;kg;Piemonte;P;altri fondi e residui di reazione;R;34030.0;38004.0
2026;AL;070612;D13;kg;Piemonte;NP;fanghi prodotti dal trattamento in loco di effluenti, diversi da quelli di cui alla voce 07 06 11;D;0.0;0.0
2026;AL;070704;R1;kg;Piemonte;P;altri solventi organici, soluzioni di lavaggio e acque madri;R;29162.0;22459.0
2026;AL;070708;R1;kg;Piemonte;P;altri fondi e residui di reazione;R;185727.0;111160.0
2026;AL;080111;R12;kg;Piemonte;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;R;0.0;0.0
2026;AL;080112;D13;kg;Piemonte;NP;pitture e vernici di scarto, diverse da quelle di cui alla voce 08 01 11;D;0.0;0.0
2026;AL;080201;R12;kg;Piemonte;NP;polveri di scarti di rivestimenti;R;0.0;0.0
2026;AL;080317;R12;kg;Piemonte;P;toner per stampa esauriti, contenenti sostanze pericolose;R;0.0;0.0
2026;AL;080318;R12;kg;Piemonte;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;R;0.0;0.0
2026;AL;080318;R5;kg;Piemonte;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;R;2224.0;0.0
2026;AL;080409;R12;kg;Piemonte;P;adesivi e sigillanti di scarto, contenenti solventi organici o altre sostanze pericolose;R;0.0;0.0
2026;AL;100701;R4;kg;Piemonte;NP;scorie della produzione primaria e secondaria;R;0.0;0.0
2026;AL;100704;R4;kg;Piemonte;NP;altre polveri e particolato;R;0.0;0.0
2026;AL;101201;R5;kg;Piemonte;NP;residui di miscela non sottoposti a trattamento termico;R;0.0;0.0
2026;AL;101208;R5;kg;Piemonte;NP;scarti di ceramica, mattoni, mattonelle e materiali da costruzione (sottoposti a trattamento termico);R;0.0;75100.0
2026;AL;101311;R5;kg;Piemonte;NP;rifiuti della produzione di materiali compositi a base di cemento, diversi da quelli di cui alle voci 10 13 09 e 10 13 10;R;1866990.0;0.0
2026;AL;110105;R6;kg;Piemonte;P;acidi di decappaggio;R;0.0;0.0
2026;AL;110106;R4;kg;Piemonte;P;acidi non specificati altrimenti;R;231.0;0.0
2026;AL;110110;D1;kg;Piemonte;NP;fanghi e residui di filtrazione, diversi da quelli di cui alla voce 11 01 09;D;35880.0;0.0
2026;AL;120101;R12;kg;Piemonte;NP;limatura e trucioli di metalli ferrosi;R;0.0;0.0
2026;AL;120101;R13;kg;Piemonte;NP;limatura e trucioli di metalli ferrosi;R;0.0;0.0
2026;AL;120101;R4;kg;Piemonte;NP;limatura e trucioli di metalli ferrosi;R;161870.0;0.0
2026;AL;120102;D1;kg;Piemonte;NP;polveri e particolato di metalli ferrosi;D;0.0;0.0
2026;AL;120102;R12;kg;Piemonte;NP;polveri e particolato di metalli ferrosi;R;3500.0;0.0
2026;AL;120102;R4;kg;Piemonte;NP;polveri e particolato di metalli ferrosi;R;86340.0;0.0
2026;AL;120103;R12;kg;Piemonte;NP;limatura e trucioli di metalli non ferrosi;R;0.0;0.0
2026;AL;120103;R13;kg;Piemonte;NP;limatura e trucioli di metalli non ferrosi;R;0.0;0.0
2026;AL;120103;R4;kg;Piemonte;NP;limatura e trucioli di metalli non ferrosi;R;907928.0;0.0
2026;AL;120103;R5;kg;Piemonte;NP;limatura e trucioli di metalli non ferrosi;R;0.0;0.0
2026;AL;120104;R4;kg;Piemonte;NP;polveri e particolato di metalli non ferrosi;R;9980.0;0.0
2026;AL;120104;R5;kg;Piemonte;NP;polveri e particolato di metalli non ferrosi;R;0.0;5500.0
2026;AL;120105;R12;kg;Piemonte;NP;limatura e trucioli di materiali plastici;R;3390.0;2600.0
2026;AL;120105;R3;kg;Piemonte;NP;limatura e trucioli di materiali plastici;R;8466.0;0.0
2026;AL;120109;R12;kg;Piemonte;P;emulsioni e soluzioni per macchinari, non contenenti alogeni;R;0.0;0.0
2026;AL;120116;R12;kg;Piemonte;P;residui di materiale di sabbiatura, contenente sostanze pericolose;R;0.0;0.0
2026;AL;120117;R5;kg;Piemonte;NP;residui di materiale di sabbiatura, diversi da quelli di cui alla voce 12 01 16;R;123580.0;10590.0
2026;AL;120121;R12;kg;Piemonte;NP;corpi d'utensile e materiali di rettifica esauriti, diversi da quelli di cui alla voce 12 01 20;R;0.0;0.0
2026;AL;120121;R5;kg;Piemonte;NP;corpi d'utensile e materiali di rettifica esauriti, diversi da quelli di cui alla voce 12 01 20;R;19170.0;12010.0
2026;AL;120199;R4;kg;Piemonte;NP;rifiuti non specificati altrimenti;R;79930.0;0.0
2026;AL;130105;R12;kg;Piemonte;P;emulsioni non clorurate;R;0.0;0.0
