Anno;Provincia impianto;Codice EER;Attivita a destinazione;Unita di misura;Regione;Pericoloso;Descrizione EER;Tipo operazione;Tot_2026-08-03;Tot_2026-09-07;Tot_2026-09-15
2026;AG;170407;R13;kg;Sicilia;NP;metalli misti;R;29606.0;29606.0;29606.0
2026;AG;170407;R4;kg;Sicilia;NP;metalli misti;R;10556.0;12246.0;12246.0
2026;AG;170411;R13;kg;Sicilia;NP;cavi, diversi da quelli di cui alla voce 17 04 10;R;1220.0;1220.0;1220.0
2026;AG;170504;D1;kg;Sicilia;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;D;357650.0;357650.0;357650.0
2026;AG;170504;R10;kg;Sicilia;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R;15336960.0;19608600.0;19805900.0
2026;AG;170504;R13;kg;Sicilia;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R;230442520.0;230615320.0;232287860.0
2026;AG;170504;R5;kg;Sicilia;NP;terra e rocce, diverse da quelle di cui alla voce 17 05 03;R;100532940.0;119525920.0;119901380.0
2026;AG;170508;R13;kg;Sicilia;NP;pietrisco per massicciate ferroviarie, diverso da quello di cui alla voce 17 05 07;R;1171760.0;1171760.0;1171760.0
2026;AG;170508;R5;kg;Sicilia;NP;pietrisco per massicciate ferroviarie, diverso da quello di cui alla voce 17 05 07;R;25060060.0;29636340.0;29636340.0
2026;AG;170604;R12;kg;Sicilia;NP;materiali isolanti, diversi da quelli di cui alle voci 17 06 01 e 17 06 03;R;1280.0;1280.0;1280.0
2026;AG;170802;R13;kg;Sicilia;NP;materiali da costruzione a base di gesso, diversi da quelli di cui alla voce 17 08 01;R;45200.0;45200.0;45200.0
2026;AG;170802;R5;kg;Sicilia;NP;materiali da costruzione a base di gesso, diversi da quelli di cui alla voce 17 08 01;R;20240.0;40660.0;40660.0
2026;AG;170904;D1;kg;Sicilia;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;D;304400.0;304400.0;304400.0
2026;AG;170904;D15;kg;Sicilia;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;D;30480.0;30480.0;30480.0
2026;AG;170904;R5;kg;Sicilia;NP;rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03;R;74219357.0;82046487.0;83618807.0
2026;AG;180106;D9;kg;Sicilia;P;sostanze chimiche pericolose o contenenti sostanze pericolose;D;14380.0;14380.0;14380.0
2026;AG;190114;R5;kg;Sicilia;NP;ceneri leggere, diverse da quelle di cui alla voce 19 01 13;R;6925.0;7325.0;8925.0
