report_id;da_run;a_run;tipo_variazione;Provincia;Campo;Regione;Valore_prec;Valore_att;Delta;Stato
59;2026-09-15;2026-09-18;stato attuale (senza anno);BG;Numero operatori iscritti;Lombardia;7821;7843;22;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BG;Numero unita locali iscritte;Lombardia;9795;9834;39;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BG;di cui Produttore;Lombardia;9235;9274;39;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BG;di cui Trasportatore;Lombardia;1079;1082;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BI;Numero operatori iscritti;Piemonte;1239;1238;-1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BL;Numero operatori iscritti;Veneto;1358;1360;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BL;Numero unita locali iscritte;Veneto;1812;1814;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BL;di cui Produttore;Veneto;1768;1770;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BN;Numero operatori iscritti;Campania;1887;1896;9;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BN;Numero unita locali iscritte;Campania;2269;2278;9;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BN;di cui Produttore;Campania;2114;2123;9;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BN;di cui Smaltitore;Campania;6;7;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BO;Numero operatori iscritti;Emilia Romagna;6235;6262;27;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BO;Numero unita locali iscritte;Emilia Romagna;8211;8247;36;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BO;di cui Intermediario senza detenzione;Emilia Romagna;129;130;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BO;di cui Produttore;Emilia Romagna;7914;7949;35;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BO;di cui Trasportatore;Emilia Romagna;760;763;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BR;Numero operatori iscritti;Puglia;1979;1989;10;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BR;Numero unita locali iscritte;Puglia;2384;2387;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BR;di cui Intermediario senza detenzione;Puglia;35;36;1;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BR;di cui Produttore;Puglia;2244;2247;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BR;di cui Trasportatore;Puglia;392;395;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BS;Numero operatori iscritti;Lombardia;10048;10075;27;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BS;Numero unita locali iscritte;Lombardia;12592;12625;33;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BS;di cui Produttore;Lombardia;11769;11802;33;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BS;di cui Trasportatore;Lombardia;1419;1421;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BT;Numero operatori iscritti;Puglia;1958;1964;6;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BT;Numero unita locali iscritte;Puglia;2203;2209;6;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BT;di cui Produttore;Puglia;2093;2099;6;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BZ;Numero operatori iscritti;Trentino Alto Adige;2853;2872;19;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BZ;Numero unita locali iscritte;Trentino Alto Adige;3910;3942;32;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BZ;di cui Intermediario senza detenzione;Trentino Alto Adige;48;50;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BZ;di cui Produttore;Trentino Alto Adige;3537;3565;28;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);BZ;di cui Trasportatore;Trentino Alto Adige;445;447;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CA;Numero operatori iscritti;Sardegna;2435;2445;10;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CA;Numero unita locali iscritte;Sardegna;2980;3042;62;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CA;di cui Produttore;Sardegna;2687;2749;62;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CA;di cui Smaltitore;Sardegna;31;34;3;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CB;Numero operatori iscritti;Molise;1232;1234;2;riga preesistente
59;2026-09-15;2026-09-18;stato attuale (senza anno);CB;Numero unita locali iscritte;Molise;1657;1663;6;riga preesistente
