report_id;da_run;a_run;tipo_variazione;Anno;Provincia impianto;Codice EER;Attivita a destinazione;Unita di misura;Regione;Pericoloso;Descrizione EER;Tipo operazione;Valore_prec;Valore_att;Delta;Stato
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;190809;D9;kg;Sicilia;NP;miscele di oli e grassi prodotte dalla separazione olio/acqua, contenenti esclusivamente oli e grassi commestibili;D;429920.0;456400.0;26480.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;191308;D9;kg;Sicilia;NP;rifiuti liquidi acquosi e rifiuti concentrati acquosi prodotti dalle operazioni di risanamento delle acque di falda, diversi da quelli di cui alla voce 19 13 07;D;6307680.0;6899240.0;591560.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;200101;R3;kg;Sicilia;NP;carta e cartone;R;11126510.0;11417890.0;291380.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;200108;R3;kg;Sicilia;NP;rifiuti biodegradabili di cucine e mense;R;1880280.0;1905700.0;25420.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;200111;R12;kg;Sicilia;NP;prodotti tessili;R;494620.0;514620.0;20000.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;200138;R12;kg;Sicilia;NP;legno diverso da quello di cui alla voce 20 01 37;R;833880.0;868900.0;35020.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;200201;R3;kg;Sicilia;NP;rifiuti biodegradabili;R;666740.0;673300.0;6560.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;200301;R12;kg;Sicilia;NP;rifiuti urbani non differenziati;R;3106580.0;3237000.0;130420.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;200304;D9;kg;Sicilia;NP;fanghi delle fosse settiche;D;644740.0;736520.0;91780.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;200306;D9;kg;Sicilia;NP;rifiuti della pulizia delle fognature;D;8205.0;39885.0;31680.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AG;200307;R12;kg;Sicilia;NP;rifiuti ingombranti;R;7993326.0;8165246.0;171920.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;020101;R10;kg;Piemonte;NP;fanghi da operazioni di lavaggio e pulizia;R;6300.0;8500.0;2200.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;020304;R10;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;R;42000.0;47000.0;5000.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;020304;R12;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;R;121870.0;126590.0;4720.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;020399;R10;kg;Piemonte;NP;rifiuti non specificati altrimenti;R;7800.0;10100.0;2300.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;020601;R12;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;R;166850.0;199470.0;32620.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;020704;R12;kg;Piemonte;NP;scarti inutilizzabili per il consumo o la trasformazione;R;11020.0;18820.0;7800.0;riga preesistente
58;2026-09-07;2026-09-15;accumulo anno corrente;2026;AL;030105;R1;kg;Piemonte;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;R;143000.0;144000.0;1000.0;riga preesistente
